Store,Date,Sales,isHoliday,Dept.
1,2012-01-06,16567.69,FALSE,2
1,2012-01-13,16894.4,FALSE,2
1,2012-01-20,18365.1,FALSE,2
1,2012-01-27,18378.16,FALSE,2
1,2012-02-03,23510.49,FALSE,2
1,2012-02-10,36988.49,TRUE,2
1,2012-02-17,54060.1,FALSE,2
1,2012-02-24,20124.22,FALSE,2
1,2012-03-02,20113.03,FALSE,2
1,2012-03-09,21140.07,FALSE,2
1,2012-03-16,22366.88,FALSE,2
1,2012-03-23,22107.7,FALSE,2
1,2012-03-30,28952.86,FALSE,2
1,2012-04-06,57592.12,FALSE,2
1,2012-04-13,34684.21,FALSE,2
1,2012-04-20,16976.19,FALSE,2
1,2012-04-27,16347.6,FALSE,2
1,2012-05-04,17147.44,FALSE,2
1,2012-05-11,18164.2,FALSE,2
1,2012-05-18,18517.79,FALSE,2
1,2012-05-25,16963.55,FALSE,2
1,2012-06-01,16065.49,FALSE,2
1,2012-06-08,17666,FALSE,2
1,2012-06-15,17558.82,FALSE,2
1,2012-06-22,16633.41,FALSE,2
1,2012-06-29,15722.82,FALSE,2
1,2012-07-06,17823.37,FALSE,2
1,2012-07-13,16566.18,FALSE,2
1,2012-07-20,16348.06,FALSE,2
1,2012-07-27,15731.18,FALSE,2
1,2012-08-03,16628.31,FALSE,2
1,2012-08-10,16119.92,FALSE,2
1,2012-08-17,17330.7,FALSE,2
1,2012-08-24,16286.4,FALSE,2
1,2012-08-31,16680.24,FALSE,2
1,2012-09-07,18322.37,TRUE,2
1,2012-09-14,19616.22,FALSE,2
1,2012-09-21,19251.5,FALSE,2
1,2012-09-28,18947.81,FALSE,2
1,2012-10-05,21904.47,FALSE,2
1,2012-10-12,22764.01,FALSE,2
1,2012-10-19,24185.27,FALSE,2
1,2012-10-26,27390.81,FALSE,2
1,2012-01-06,44481.38,FALSE,3
1,2012-01-13,43353.09,FALSE,3
1,2012-01-20,43753.43,FALSE,3
1,2012-01-27,41556.23,FALSE,3
1,2012-02-03,54322.24,FALSE,3
1,2012-02-10,50581.06,TRUE,3
1,2012-02-17,46085.47,FALSE,3
1,2012-02-24,47080.12,FALSE,3
1,2012-03-02,52608.51,FALSE,3
1,2012-03-09,48563.69,FALSE,3
1,2012-03-16,47346.32,FALSE,3
1,2012-03-23,44796.03,FALSE,3
1,2012-03-30,46529.68,FALSE,3
1,2012-04-06,51805.88,FALSE,3
1,2012-04-13,43991.18,FALSE,3
1,2012-04-20,45561.85,FALSE,3
1,2012-04-27,45456.23,FALSE,3
1,2012-05-04,50501.3,FALSE,3
1,2012-05-11,46717.76,FALSE,3
1,2012-05-18,44411.23,FALSE,3
1,2012-05-25,45817.07,FALSE,3
1,2012-06-01,47425.29,FALSE,3
1,2012-06-08,49439.58,FALSE,3
1,2012-06-15,46637.48,FALSE,3
1,2012-06-22,46075,FALSE,3
1,2012-06-29,47629.14,FALSE,3
1,2012-07-06,49771.92,FALSE,3
1,2012-07-13,44411.95,FALSE,3
1,2012-07-20,45108.22,FALSE,3
1,2012-07-27,45008.22,FALSE,3
1,2012-08-03,49424.06,FALSE,3
1,2012-08-10,46729.91,FALSE,3
1,2012-08-17,46350.97,FALSE,3
1,2012-08-24,44972.52,FALSE,3
1,2012-08-31,50995.5,FALSE,3
1,2012-09-07,47344.5,TRUE,3
1,2012-09-14,44493.61,FALSE,3
1,2012-09-21,43541.07,FALSE,3
1,2012-09-28,45784.76,FALSE,3
1,2012-10-05,48577.08,FALSE,3
1,2012-10-12,42112.67,FALSE,3
1,2012-10-19,42354.72,FALSE,3
1,2012-10-26,43134.88,FALSE,3
1,2012-01-06,13926.04,FALSE,4
1,2012-01-13,13822.49,FALSE,4
1,2012-01-20,11702.08,FALSE,4
1,2012-01-27,10613.17,FALSE,4
1,2012-02-03,12485.78,FALSE,4
1,2012-02-10,12388.85,TRUE,4
1,2012-02-17,10237.78,FALSE,4
1,2012-02-24,10502.4,FALSE,4
1,2012-03-02,11387.31,FALSE,4
1,2012-03-09,11925.71,FALSE,4
1,2012-03-16,8845.73,FALSE,4
1,2012-03-23,7910.22,FALSE,4
1,2012-03-30,9129.23,FALSE,4
1,2012-04-06,9335.24,FALSE,4
1,2012-04-13,7927.73,FALSE,4
1,2012-04-20,8647.36,FALSE,4
1,2012-04-27,8635.62,FALSE,4
1,2012-05-04,10655.35,FALSE,4
1,2012-05-11,10342.72,FALSE,4
1,2012-05-18,8609.82,FALSE,4
1,2012-05-25,8345.33,FALSE,4
1,2012-06-01,7175.77,FALSE,4
1,2012-06-08,8614.64,FALSE,4
1,2012-06-15,8016.26,FALSE,4
1,2012-06-22,7301.41,FALSE,4
1,2012-06-29,7577.59,FALSE,4
1,2012-07-06,8473.71,FALSE,4
1,2012-07-13,13126.15,FALSE,4
1,2012-07-20,20126.95,FALSE,4
1,2012-07-27,22716.7,FALSE,4
1,2012-08-03,30331.69,FALSE,4
1,2012-08-10,28257.3,FALSE,4
1,2012-08-17,31905.97,FALSE,4
1,2012-08-24,43712.78,FALSE,4
1,2012-08-31,50701.3,FALSE,4
1,2012-09-07,18368.51,TRUE,4
1,2012-09-14,14288.22,FALSE,4
1,2012-09-21,13403.63,FALSE,4
1,2012-09-28,13085.95,FALSE,4
1,2012-10-05,11676.98,FALSE,4
1,2012-10-12,10487.17,FALSE,4
1,2012-10-19,8548.87,FALSE,4
1,2012-10-26,9350.9,FALSE,4
1,2012-01-06,40925.76,FALSE,5
1,2012-01-13,36582.36,FALSE,5
1,2012-01-20,33780.2,FALSE,5
1,2012-01-27,33613.91,FALSE,5
1,2012-02-03,40274.83,FALSE,5
1,2012-02-10,39305.13,TRUE,5
1,2012-02-17,36550.46,FALSE,5
1,2012-02-24,34953.85,FALSE,5
1,2012-03-02,38459.98,FALSE,5
1,2012-03-09,38934.77,FALSE,5
1,2012-03-16,38125.32,FALSE,5
1,2012-03-23,36586.52,FALSE,5
1,2012-03-30,37718.51,FALSE,5
1,2012-04-06,42060.21,FALSE,5
1,2012-04-13,37449.26,FALSE,5
1,2012-04-20,36350.03,FALSE,5
1,2012-04-27,36894.54,FALSE,5
